concurso,dia,mes,ano,premio,num1,num2,num3,num4,num5,num6
125,25,7,1998,851497.47,25,41,47,53,56,59
126,1,8,1998,1852731.83,6,10,11,28,32,40
127,8,8,1998,2987378.17,21,29,50,51,54,59
128,15,8,1998,4183483.5,3,9,18,21,23,43
129,22,8,1998,544049.0,1,9,10,32,46,54
130,29,8,1998,18814958.31,13,29,38,42,49,53
131,5,9,1998,21765774.49,4,9,17,27,30,44
132,12,9,1998,25343057.89,7,9,35,41,44,50
133,19,9,1998,30533241.12,5,6,19,34,39,57
134,26,9,1998,1008932.39,4,25,32,36,52,60
135,3,10,1998,2188444.72,21,22,35,40,53,59
136,10,10,1998,3463871.17,1,17,25,38,45,59
137,17,10,1998,4802402.93,15,16,19,22,26,49
138,24,10,1998,6254876.8,5,14,27,37,40,41
139,31,10,1998,7804972.28,3,13,26,27,41,42
140,7,11,1998,16453628.31,7,31,41,44,46,55
141,14,11,1998,19324778.9,10,13,22,41,42,58
142,21,11,1998,22851887.24,8,15,19,20,54,59
143,28,11,1998,27136115.88,6,18,20,40,50,53
144,5,12,1998,33597755.21,8,32,36,44,45,55
145,12,12,1998,1283220.59,15,16,31,41,43,51
146,19,12,1998,2747335.81,25,32,34,42,51,60
147,24,12,1998,3805750.38,6,16,23,24,28,38
148,31,12,1998,965880.61,32,35,41,55,58,59
149,9,1,1999,2211820.94,7,11,20,28,45,48
150,16,1,1999,21414530.14,12,44,50,52,54,55
151,23,1,1999,24091811.02,3,16,20,43,52,56
152,30,1,1999,1040614.8,5,12,15,29,51,58
153,6,2,1999,2329154.62,2,30,31,42,45,47
154,13,2,1999,3692251.6,8,10,24,33,45,48
155,20,2,1999,4988808.21,12,30,32,35,43,44
156,27,2,1999,978407.41,17,23,42,49,52,55
157,6,3,1999,2140030.92,4,13,17,21,41,44
158,13,3,1999,961863.12,4,14,17,43,51,58
159,20,3,1999,2038170.67,9,11,16,35,50,58
160,27,3,1999,11251511.63,2,13,42,52,54,58
161,3,4,1999,12896601.04,6,25,30,37,39,41
162,10,4,1999,15208520.83,21,23,33,38,48,51
163,17,4,1999,17951666.72,8,27,36,41,53,56
164,24,4,1999,1011737.9,4,10,14,19,28,44
165,1,5,1999,2088889.08,10,19,23,35,39,56
166,8,5,1999,982751.54,12,13,22,57,59,60
167,15,5,1999,2100980.21,1,11,28,33,38,48
168,22,5,1999,906836.93,2,9,31,35,45,50
169,29,5,1999,1973804.91,1,13,21,37,51,52
170,5,6,1999,13643095.71,7,41,46,51,55,58
171,12,6,1999,16052410.83,4,27,40,43,46,54
172,19,6,1999,1033736.7,10,14,26,35,36,49
173,26,6,1999,2148316.42,17,28,29,42,49,50
174,3,7,1999,942313.58,11,22,23,36,52,59
175,10,7,1999,2049582.99,1,10,13,20,42,50
176,17,7,1999,3291794.61,1,3,4,28,45,53
177,24,7,1999,4646890.81,22,35,38,39,41,59
178,31,7,1999,6129539.43,5,15,19,26,27,33
179,7,8,1999,962357.04,5,6,23,26,27,53
180,14,8,1999,12143009.93,6,23,29,39,51,60
181,21,8,1999,14573162.71,1,27,33,35,51,55
182,28,8,1999,17428194.22,3,5,10,28,46,60
183,4,9,1999,20905131.4,2,7,11,16,40,44
184,11,9,1999,24733003.15,9,16,21,34,41,60
185,18,9,1999,30124561.09,17,22,43,46,55,59
186,25,9,1999,37335874.86,14,23,24,25,26,51
187,2,10,1999,48320873.6,6,36,41,44,48,58
188,10,10,1999,64905517.65,17,27,34,42,43,46
189,16,10,1999,1718456.25,4,15,31,38,41,53
190,24,10,1999,44895988.05,5,10,21,32,40,42
191,31,10,1999,50968412.58,1,3,5,23,41,58
192,6,11,1999,1463122.78,1,26,28,41,54,60
193,13,11,1999,3104692.58,4,11,12,19,43,49
194,20,11,1999,4740789.92,25,28,32,33,42,43
195,27,11,1999,6370250.64,3,9,17,32,37,44
196,4,12,1999,1159520.95,7,9,14,17,24,32
197,11,12,1999,2428125.98,5,12,15,19,29,52
198,18,12,1999,3760278.08,1,8,18,23,35,40
199,24,12,1999,4915593.2,10,16,37,50,52,57
200,31,12,1999,17658778.4,12,15,19,34,44,51
201,8,1,2000,1038373.94,5,20,22,30,35,55
202,15,1,2000,968186.82,12,24,44,45,49,53
203,22,1,2000,2034096.14,11,19,29,44,47,55
204,29,1,2000,3194615.19,29,31,39,41,51,58
205,5,2,2000,4490339.49,26,32,40,43,46,54
206,12,2,2000,916897.74,18,20,26,34,51,56
207,19,2,2000,1960583.04,3,7,19,24,53,55
208,26,2,2000,3056064.34,15,23,24,25,47,57
209,4,3,2000,4256466.94,13,21,26,32,41,52
210,11,3,2000,14043878.83,20,32,37,38,48,58
211,18,3,2000,16185115.03,10,20,33,40,45,50
212,25,3,2000,18534548.53,6,15,29,45,57,59
213,1,4,2000,21267583.62,3,9,23,30,32,35
214,8,4,2000,1009456.63,6,12,30,31,35,50
215,15,4,2000,2139994.41,7,28,37,46,53,58
216,22,4,2000,3204230.2,14,18,30,35,42,59
217,29,4,2000,877607.32,3,27,32,45,49,51
218,6,5,2000,1878255.09,12,17,40,42,47,54
219,13,5,2000,885291.29,23,26,28,36,42,49
220,20,5,2000,12636751.12,13,14,36,53,55,60
221,27,5,2000,856460.89,13,27,43,50,54,58
222,3,6,2000,1862509.6,5,19,30,48,52,55
223,10,6,2000,3004483.21,2,6,22,24,28,58
224,17,6,2000,4247750.04,7,16,18,20,21,44
225,24,6,2000,5496971.76,2,4,16,21,37,58
226,1,7,2000,6916920.13,1,2,38,49,50,59
227,8,7,2000,885652.57,11,26,27,37,42,48
228,15,7,2000,1902506.15,13,16,40,43,45,59
229,22,7,2000,2992781.57,11,13,21,33,39,45
230,29,7,2000,9547336.0,8,40,41,44,53,56
231,5,8,2000,11481752.44,16,27,36,42,44,59
232,12,8,2000,13653988.77,19,22,29,37,41,59
233,19,8,2000,15982735.15,3,7,24,32,36,45
234,26,8,2000,906511.63,15,25,41,42,45,54
235,2,9,2000,1942631.63,2,22,29,31,41,55
236,9,9,2000,3055084.91,10,25,50,52,57,60
237,16,9,2000,4344394.18,7,31,36,45,56,57
238,23,9,2000,5717904.44,9,13,15,37,41,42
239,30,9,2000,866183.32,6,21,33,44,46,47
240,7,10,2000,11686511.34,25,28,38,41,57,59
241,14,10,2000,13712211.55,11,31,35,40,56,57
242,21,10,2000,16132069.11,4,7,21,22,28,56
243,28,10,2000,18728383.13,11,16,20,23,32,47
244,4,11,2000,22081659.67,19,24,33,47,50,60
245,11,11,2000,27460454.64,8,27,44,51,53,60
246,18,11,2000,1036993.8,2,16,32,37,43,57
247,25,11,2000,2196692.29,3,10,23,30,34,46
248,2,12,2000,3489735.08,16,32,34,35,41,56
249,9,12,2000,4906709.76,21,36,40,49,54,55
250,16,12,2000,22593628.59,7,25,41,42,43,55
251,23,12,2000,25936007.67,15,23,30,34,49,55
252,30,12,2000,30214004.48,4,17,26,32,51,54
253,6,1,2001,1056248.75,11,12,24,37,44,56
254,13,1,2001,2355166.17,1,4,21,22,30,56
255,20,1,2001,3734074.48,16,19,20,32,44,55
256,27,1,2001,5190470.09,2,21,26,32,34,52
257,3,2,2001,6808483.96,1,4,5,19,28,34
258,10,2,2001,1015099.19,7,12,50,54,55,60
259,17,2,2001,2195724.03,13,15,20,33,43,58
260,24,2,2001,17357124.85,4,6,33,43,59,60
261,3,3,2001,19797765.32,5,16,20,30,54,56
262,10,3,2001,22991600.18,11,20,48,53,58,60
263,17,3,2001,27061348.12,8,9,26,43,50,53
264,24,3,2001,32111761.46,1,5,13,25,31,33
265,31,3,2001,1127161.81,7,16,34,41,50,53
266,7,4,2001,2442739.49,2,23,38,46,48,54
267,14,4,2001,3720210.04,1,8,45,46,55,58
268,21,4,2001,5098601.74,5,6,10,21,33,47
269,28,4,2001,6697873.66,17,18,19,25,49,52
270,5,5,2001,25186260.21,5,9,27,35,40,45
271,12,5,2001,1028865.23,14,24,26,29,31,54
272,19,5,2001,2205988.15,9,10,24,36,56,58
273,26,5,2001,3456480.23,10,17,23,27,47,52
274,2,6,2001,935192.94,11,13,18,26,39,47
275,9,6,2001,2061751.1,16,19,30,37,38,48
276,16,6,2001,3245516.79,22,39,45,53,57,59
277,23,6,2001,4565490.29,4,26,38,40,52,56
278,30,6,2001,5975419.1,10,15,18,22,31,55
279,7,7,2001,7622494.24,4,23,31,47,58,59
280,14,7,2001,19351758.16,5,16,20,25,30,58
281,21,7,2001,22414093.5,5,11,31,38,47,53
282,28,7,2001,958878.82,9,14,23,24,33,36
283,1,8,2001,367173.22,25,28,34,42,48,54
284,4,8,2001,901884.48,7,8,14,30,32,36
285,8,8,2001,425869.64,12,32,37,41,50,56
286,11,8,2001,1398941.94,29,35,37,44,47,56
287,15,8,2001,1931474.8,3,13,25,33,47,60
288,18,8,2001,860964.72,6,9,11,17,18,50
289,22,8,2001,1341870.11,6,7,20,25,30,36
290,25,8,2001,10159688.47,7,25,26,30,40,57
291,29,8,2001,11117743.68,5,16,17,18,22,41
292,1,9,2001,12692554.4,13,23,24,34,45,53
293,5,9,2001,13858457.03,5,6,7,12,28,35
294,8,9,2001,15393360.66,22,25,28,41,45,57
295,12,9,2001,442466.08,7,12,24,31,44,50
296,15,9,2001,1367552.68,3,20,42,46,51,52
297,19,9,2001,1948159.43,1,20,28,33,36,41
298,22,9,2001,2994572.21,5,22,23,24,34,60
299,26,9,2001,417337.23,2,5,7,33,49,53
300,29,9,2001,8421199.74,24,27,28,38,41,57
301,3,10,2001,9414796.91,9,26,48,49,57,58
302,6,10,2001,11051609.38,12,25,30,40,41,60
303,10,10,2001,12257748.27,7,13,17,30,37,47
304,13,10,2001,769087.04,7,11,34,41,42,59
305,17,10,2001,1333855.18,5,11,27,38,53,60
306,20,10,2001,2332990.8,19,30,41,47,56,57
307,24,10,2001,3000002.7,13,16,17,26,41,44
308,27,10,2001,4138172.99,4,11,25,29,39,55
309,31,10,2001,442899.06,4,11,25,39,50,55
310,3,11,2001,7512984.9,2,14,28,29,31,32
311,7,11,2001,8459898.95,22,24,30,32,38,41
312,10,11,2001,9909043.97,14,23,30,41,47,50
313,14,11,2001,11055737.35,14,16,24,37,38,53
314,17,11,2001,12427002.17,5,32,34,37,40,58
315,21,11,2001,13675105.67,12,21,22,28,43,50
316,24,11,2001,804502.07,6,24,28,43,51,56
317,28,11,2001,1325010.22,16,20,27,30,35,48
318,1,12,2001,2227008.03,3,19,20,31,40,53
319,5,12,2001,451904.22,12,16,17,19,23,48
320,8,12,2001,8460390.65,20,22,27,47,50,53
321,12,12,2001,9579360.38,4,11,31,32,48,49
322,15,12,2001,11192700.36,11,18,29,44,47,56
323,19,12,2001,12531452.28,26,31,33,40,49,54
324,22,12,2001,14541455.7,8,15,22,25,30,47
325,29,12,2001,17487755.6,1,3,4,21,23,53
326,5,1,2002,1048702.44,21,23,40,44,51,52
327,9,1,2002,1634646.68,29,32,33,38,46,48
328,12,1,2002,2721357.01,5,7,14,21,23,51
329,16,1,2002,9617027.24,10,11,12,24,35,40
330,19,1,2002,11190156.01,2,4,14,23,37,51
331,23,1,2002,12355441.42,1,13,20,27,35,37
332,26,1,2002,14025004.81,23,28,29,34,42,44
333,30,1,2002,15441466.12,4,27,35,44,52,53
334,2,2,2002,17458785.82,14,23,24,26,41,51
335,6,2,2002,510820.7,7,23,33,43,57,59
336,9,2,2002,1413202.7,2,18,22,26,30,54
337,16,2,2002,2519311.97,4,14,16,31,52,54
338,20,2,2002,3243312.5,1,4,9,36,46,48
339,23,2,2002,12514336.94,5,12,13,16,27,50
340,27,2,2002,13948598.35,9,10,12,33,42,60
341,2,3,2002,15865526.88,5,16,22,23,43,56
342,6,3,2002,17547094.93,16,29,34,49,51,54
343,9,3,2002,19874566.06,4,6,7,12,24,41
344,13,3,2002,524086.97,10,12,14,33,35,36
345,16,3,2002,1447870.53,11,22,46,51,56,58
346,20,3,2002,471175.04,7,12,41,46,56,60
347,23,3,2002,1334215.32,1,10,12,26,48,52
348,27,3,2002,1944413.01,19,30,33,39,40,52
349,30,3,2002,10405636.15,8,9,28,32,38,54
350,3,4,2002,11538610.2,10,15,23,30,43,57
351,6,4,2002,13241262.56,15,16,24,41,59,60
352,10,4,2002,14757638.49,7,20,25,44,47,49
353,13,4,2002,16844201.81,19,23,30,46,55,60
354,17,4,2002,18680098.1,7,16,38,40,41,52
355,20,4,2002,864747.94,2,14,22,23,37,60
356,24,4,2002,1470612.4,5,19,21,54,56,58
357,27,4,2002,2445712.66,2,30,32,35,45,53
358,4,5,2002,3746340.86,12,17,21,32,40,42
359,8,5,2002,13221837.92,13,19,20,29,31,54
360,11,5,2002,14920906.83,23,24,29,47,53,55
361,15,5,2002,16385748.75,16,28,31,41,45,59
362,18,5,2002,18399160.53,7,20,33,37,46,56
363,22,5,2002,483469.12,19,29,39,47,49,54
364,25,5,2002,1307293.04,5,29,44,51,57,59
365,29,5,2002,462752.26,19,23,34,37,52,58
366,1,6,2002,625880.91,4,6,7,15,21,51
367,5,6,2002,1150498.02,10,12,27,33,49,52
368,8,6,2002,682127.44,13,29,32,38,44,50
369,12,6,2002,1221738.07,1,14,21,35,42,60
370,15,6,2002,7330667.64,1,4,40,42,51,54
371,19,6,2002,8271144.7,4,18,23,33,39,60
372,22,6,2002,9585316.7,16,17,24,39,46,57
373,26,6,2002,404360.65,1,5,10,24,31,33
374,29,6,2002,1179384.47,2,5,16,26,44,54
375,3,7,2002,1748004.5,1,5,9,42,51,58
376,6,7,2002,2705928.72,10,13,25,35,43,48
377,10,7,2002,3399042.3,3,12,19,27,45,46
378,13,7,2002,4498508.08,5,38,41,45,48,55
379,17,7,2002,11243785.66,24,33,40,41,55,59
380,20,7,2002,12882392.95,13,22,30,31,47,57
381,24,7,2002,14328873.76,9,10,28,46,55,56
382,27,7,2002,16267384.96,31,34,37,38,53,54
383,31,7,2002,18348185.45,14,22,48,50,53,56
384,3,8,2002,21673565.65,24,28,40,47,50,52
385,7,8,2002,25904385.78,5,12,16,18,22,24
386,10,8,2002,972045.86,17,35,36,39,43,54
387,14,8,2002,1689053.37,22,28,29,43,47,48
388,17,8,2002,2728273.75,23,36,48,52,53,58
389,21,8,2002,15745310.46,5,14,18,43,46,54
390,24,8,2002,17611429.97,7,12,22,34,38,53
391,28,8,2002,536994.3,4,7,15,16,35,40
392,31,8,2002,1410917.29,15,23,31,39,47,49
393,4,9,2002,510254.22,6,12,35,36,40,50
394,7,9,2002,1176778.31,5,15,35,42,45,49
395,11,9,2002,1843709.96,10,11,14,20,31,58
396,14,9,2002,767243.59,6,18,34,42,45,47
397,18,9,2002,1352288.49,1,2,5,24,32,46
398,21,9,2002,2221289.77,7,16,22,28,36,37
399,25,9,2002,5676171.41,11,16,27,47,55,59
400,28,9,2002,6869047.91,10,13,28,29,54,59
401,2,10,2002,7859389.89,11,18,43,44,50,53
402,5,10,2002,9248373.54,5,16,27,43,56,58
403,9,10,2002,10398815.28,7,16,27,31,46,60
404,12,10,2002,11711956.93,1,24,28,38,40,58
405,16,10,2002,13077805.76,24,29,34,47,57,60
406,19,10,2002,14899587.92,2,12,32,38,47,48
407,23,10,2002,16661649.27,2,18,22,49,51,57
408,26,10,2002,18948827.67,14,28,33,44,49,56
409,30,10,2002,9710567.61,18,25,26,31,34,49
410,2,11,2002,10953730.37,8,24,31,36,38,55
411,6,11,2002,12243861.06,10,12,31,38,45,56
412,9,11,2002,14018527.28,5,12,14,21,45,59
413,13,11,2002,15655814.53,2,4,29,33,35,53
414,16,11,2002,17428452.98,16,26,35,45,52,58
415,20,11,2002,529318.35,1,4,27,38,42,44
416,23,11,2002,1403039.91,1,13,23,33,54,56
417,27,11,2002,2099028.66,7,12,21,25,34,42
418,30,11,2002,3117424.48,8,15,32,45,49,52
419,4,12,2002,8115153.05,9,16,41,42,52,53
420,7,12,2002,9504559.06,12,29,30,43,57,59
421,11,12,2002,10706283.47,5,35,37,38,45,51
422,14,12,2002,12321354.11,12,37,43,55,56,60
423,18,12,2002,13741035.48,8,22,32,33,40,53
424,21,12,2002,15636395.41,18,27,29,36,46,59
425,28,12,2002,18979599.19,6,10,16,34,42,47
426,4,1,2003,921638.77,7,30,32,37,50,54
427,8,1,2003,1592223.84,3,13,14,24,43,51
428,11,1,2003,2566758.37,8,28,30,32,46,60
429,15,1,2003,12839021.93,17,26,32,36,43,55
430,18,1,2003,14410708.81,8,10,21,25,38,50
431,22,1,2003,505677.41,26,37,40,47,52,58
432,25,1,2003,1295327.95,4,13,17,27,39,50
433,29,1,2003,1912111.54,16,17,28,30,36,54
434,1,2,2003,2836778.0,4,10,17,24,30,54
435,5,2,2003,3566693.13,10,11,17,31,37,43
436,8,2,2003,4668258.69,1,6,7,29,48,57
437,12,2,2003,5550305.04,7,10,30,44,54,59
438,15,2,2003,6820280.27,3,5,11,14,38,48
439,19,2,2003,14150924.79,13,20,29,42,43,57
440,22,2,2003,15970566.86,3,5,23,30,46,47
441,26,2,2003,17701023.29,2,10,15,21,58,59
442,1,3,2003,19946601.01,6,15,23,31,37,59
443,8,3,2003,920584.21,11,17,26,36,48,52
444,12,3,2003,1637340.11,3,24,33,48,52,57
445,15,3,2003,2699748.84,7,20,31,32,50,53
446,19,3,2003,3534235.82,8,11,12,17,20,47
447,22,3,2003,792681.47,15,24,25,33,42,55
448,26,3,2003,1433817.03,3,5,9,45,51,52
449,29,3,2003,10220372.33,1,8,24,34,49,56
450,2,4,2003,11590970.46,1,9,13,50,51,59
451,5,4,2003,13379529.89,17,18,23,28,31,53
452,9,4,2003,15098395.42,11,16,30,36,51,54
453,12,4,2003,17392667.68,8,20,23,34,52,58
454,16,4,2003,19872744.64,4,17,24,42,46,56
455,19,4,2003,22264057.74,2,14,15,17,50,59
456,23,4,2003,25219091.2,3,17,22,27,33,40
457,26,4,2003,30001325.22,15,17,24,27,32,48
458,30,4,2003,727701.47,13,24,32,34,43,53
459,3,5,2003,15906301.09,8,15,17,39,43,49
460,7,5,2003,17708446.64,19,23,30,37,49,55
461,10,5,2003,20048450.45,15,17,20,29,30,60
462,14,5,2003,22343987.57,17,19,22,26,27,48
463,17,5,2003,25280386.38,2,3,7,18,45,53
464,21,5,2003,28414544.43,6,24,33,38,45,50
465,24,5,2003,926313.93,1,22,31,46,51,57
466,28,5,2003,1721479.17,11,16,28,29,30,45
467,31,5,2003,2840905.83,8,18,21,22,38,60
468,4,6,2003,3835668.21,5,6,23,25,39,51
469,7,6,2003,5192865.84,13,21,26,29,42,47
470,11,6,2003,13182029.14,8,11,23,37,51,58
471,14,6,2003,14975752.83,5,31,32,36,51,59
472,18,6,2003,16670651.02,3,4,12,29,38,51
473,21,6,2003,18486889.08,7,23,41,49,51,58
474,25,6,2003,20782211.64,3,12,32,34,40,50
475,28,6,2003,23591742.2,6,8,19,22,43,52
476,2,7,2003,26885217.69,17,20,38,43,55,58
477,5,7,2003,31204445.76,6,8,18,34,38,47
478,9,7,2003,777803.22,3,8,21,25,30,31
479,12,7,2003,16088932.65,20,26,41,46,54,58
480,16,7,2003,17947892.21,14,33,36,38,41,49
481,19,7,2003,20390664.09,6,13,22,24,42,44
482,23,7,2003,732011.95,12,13,33,53,54,56
483,26,7,2003,1786227.43,16,18,23,35,44,59
484,30,7,2003,2687468.43,17,18,19,38,49,53
485,2,8,2003,3979451.73,19,28,30,38,52,57
486,6,8,2003,5125800.12,8,14,19,30,42,50
487,9,8,2003,935404.68,8,22,25,48,52,54
488,13,8,2003,654896.68,15,30,35,39,43,57
489,16,8,2003,9662631.84,17,28,33,36,53,59
490,20,8,2003,11070173.5,5,11,23,29,54,58
491,23,8,2003,849344.26,1,9,15,22,43,55
492,27,8,2003,594095.53,2,6,15,18,56,57
493,30,8,2003,1510241.51,3,18,20,24,42,54
494,3,9,2003,2354949.51,18,20,28,32,49,53
495,6,9,2003,3539495.03,8,15,29,36,49,60
496,10,9,2003,4570690.49,10,19,20,29,41,59
497,13,9,2003,5928244.66,9,13,20,32,41,58
498,17,9,2003,7153413.01,2,6,28,49,50,57
499,20,9,2003,8698099.22,1,4,5,11,44,59
500,27,9,2003,9394248.83,21,29,35,36,38,54
501,1,10,2003,583261.35,16,27,28,34,39,56
502,4,10,2003,1461830.66,7,13,21,24,33,50
503,8,10,2003,558530.93,7,10,21,27,48,49
504,11,10,2003,1391570.39,8,11,19,30,39,50
505,15,10,2003,2102072.8,3,20,28,46,47,52
506,18,10,2003,3094262.01,4,15,31,34,37,38
507,22,10,2003,3926969.06,3,5,27,33,44,58
508,25,10,2003,714335.26,5,10,15,45,46,56
509,29,10,2003,7199176.21,28,32,33,34,35,55
510,1,11,2003,8505966.12,1,4,30,41,45,58
511,5,11,2003,761315.61,3,4,8,34,36,37
512,8,11,2003,1961485.5,4,8,31,40,53,58
513,12,11,2003,683099.65,10,19,27,33,39,46
514,15,11,2003,4941165.35,15,36,40,42,51,52
515,19,11,2003,6122998.73,15,16,39,45,48,57
516,22,11,2003,7677394.38,5,13,24,33,34,35
517,26,11,2003,9087707.16,7,8,28,32,38,51
518,29,11,2003,11003437.88,5,8,10,15,18,44
